train/success_rate,test/mean_Q,train/episode,stats_o/mean,test/episode,test/success_rate,epoch,stats_o/std,train/mean_Q,stats_g/mean,stats_g/std
0.39,-24.120188,16300.0,0.20354861,3260.0,0.35,162,0.10883249,-20.73888,0.8413052,0.09548957
0.41,-12.830638,16400.0,0.20351893,3280.0,0.65,163,0.10890512,-21.715593,0.8413128,0.09545527
0.37,-28.513882,16500.0,0.20348614,3300.0,0.3,164,0.10914601,-20.627022,0.8413089,0.09542429
0.33,-19.657402,16600.0,0.20349464,3320.0,0.35,165,0.10933824,-22.283165,0.8412973,0.09544023
0.34,-24.188454,16700.0,0.20350789,3340.0,0.25,166,0.10948902,-24.026505,0.841319,0.0953762
0.34,-23.04383,16800.0,0.20351782,3360.0,0.3,167,0.1095035,-24.450315,0.84137326,0.09531615
0.41,-13.491884,16900.0,0.20353425,3380.0,0.5,168,0.10955907,-21.380957,0.8414018,0.09529889
0.45,-21.484875,17000.0,0.20356221,3400.0,0.45,169,0.10965783,-21.676838,0.84142715,0.095244505
0.35,-28.253454,17100.0,0.20355694,3420.0,0.3,170,0.109717436,-25.704107,0.84141046,0.09518322
0.32,-19.099293,17200.0,0.20358025,3440.0,0.5,171,0.10982697,-23.495838,0.84140474,0.09517213
0.41,-25.173672,17300.0,0.20356813,3460.0,0.4,172,0.10998123,-21.470665,0.84141153,0.09513598
0.4,-12.6553755,17400.0,0.20352882,3480.0,0.6,173,0.110183924,-20.87294,0.84142214,0.09509874
0.36,-24.321312,17500.0,0.20348844,3500.0,0.35,174,0.11032182,-20.45797,0.8414033,0.09503619
0.42,-12.846433,17600.0,0.20348234,3520.0,0.65,175,0.11050888,-20.568823,0.84140223,0.09499607
0.37,-19.906038,17700.0,0.20347175,3540.0,0.4,176,0.11065783,-21.213728,0.8414412,0.09500689
0.36,-15.816378,17800.0,0.20345333,3560.0,0.45,177,0.11087104,-20.895315,0.8414363,0.094954275
0.36,-19.121208,17900.0,0.20343655,3580.0,0.35,178,0.111048706,-21.161444,0.84141564,0.09494815
0.43,-18.804983,18000.0,0.20345621,3600.0,0.5,179,0.11117714,-18.75084,0.8414473,0.094903864
0.32,-12.526409,18100.0,0.20346881,3620.0,0.65,180,0.11127034,-22.491838,0.8414839,0.094912566
0.36,-21.184895,18200.0,0.20348561,3640.0,0.45,181,0.11137731,-21.42669,0.84153193,0.09487475
