train/mean_Q,stats_o/mean,epoch,stats_g/std,test/mean_Q,test/success_rate,stats_o/std,train/episode,stats_g/mean,train/success_rate,test/episode
-2.6030636,0.20133467,143,0.07387046,-1.4879494,1.0,0.09374692,14400.0,0.837255,0.95,2880.0
-2.7481077,0.20134471,144,0.07379354,-1.291386,1.0,0.09384424,14500.0,0.83723974,0.9,2900.0
-2.4477377,0.20134155,145,0.07373164,-1.5903149,1.0,0.093906425,14600.0,0.8372446,0.93,2920.0
-2.6317828,0.2013564,146,0.07366904,-1.5836768,1.0,0.09405444,14700.0,0.8372683,0.92,2940.0
-3.8720005,0.2013503,147,0.07393531,-1.3481752,0.95,0.094298504,14800.0,0.83731514,0.93,2960.0
-2.6431358,0.2013586,148,0.07386641,-1.6024349,0.95,0.09437591,14900.0,0.8373228,0.97,2980.0
-2.8745756,0.20135422,149,0.073887266,-1.4537137,1.0,0.09450471,15000.0,0.8373091,0.88,3000.0
-2.3977146,0.2013656,150,0.07379734,-1.485012,1.0,0.09458837,15100.0,0.83731794,0.96,3020.0
-2.5817056,0.20134974,151,0.0737341,-1.1372161,1.0,0.09479795,15200.0,0.83739156,0.96,3040.0
-2.4527376,0.20135164,152,0.07368555,-1.2796571,1.0,0.09492983,15300.0,0.8373973,0.92,3060.0
-2.7901945,0.20134543,153,0.07365006,-1.0524673,1.0,0.0950986,15400.0,0.8373851,0.94,3080.0
-2.3181286,0.20134307,154,0.0735812,-1.3377783,1.0,0.0951842,15500.0,0.8374017,0.98,3100.0
-2.575965,0.20135008,155,0.073514216,-1.2426949,1.0,0.09528749,15600.0,0.83744603,0.91,3120.0
-2.7124267,0.20133556,156,0.073535115,-1.4547113,1.0,0.095350206,15700.0,0.8374364,0.94,3140.0
-2.5465522,0.20134673,157,0.07349841,-0.95285356,1.0,0.09547053,15800.0,0.83745426,0.94,3160.0
-2.4596016,0.201357,158,0.07343322,-1.2029599,1.0,0.0955314,15900.0,0.8374572,0.97,3180.0
-2.6825573,0.20134753,159,0.073364206,-1.8067629,0.95,0.095595464,16000.0,0.837471,0.91,3200.0
-2.7406628,0.20136553,160,0.07335691,-1.43373,1.0,0.09568696,16100.0,0.8374825,0.94,3220.0
