train/success_rate,train/episode,stats_g/mean,train/mean_Q,test/success_rate,stats_o/mean,epoch,stats_o/std,test/mean_Q,test/episode,stats_g/std
0.46,16300.0,0.842069,-11.912372,0.6,0.20432955,162,0.117622554,-11.982229,3260.0,0.10228878
0.49,16400.0,0.8420425,-12.7992735,0.85,0.20429707,163,0.11767596,-6.811245,3280.0,0.1022858
0.46,16500.0,0.8419888,-12.439924,0.4,0.20431753,164,0.117813915,-16.526869,3300.0,0.102289505
0.48,16600.0,0.84193605,-14.974352,0.8,0.20428263,165,0.117753394,-6.8473763,3320.0,0.10233561
0.48,16700.0,0.8419342,-14.682226,0.65,0.20426954,166,0.11768505,-11.524356,3340.0,0.10228721
0.46,16800.0,0.84198093,-13.794245,0.6,0.20428099,167,0.117660515,-11.935583,3360.0,0.102216385
0.53,16900.0,0.84198827,-13.8837595,0.85,0.20428719,168,0.117641374,-4.1283827,3380.0,0.10218167
0.47,17000.0,0.8419726,-14.770028,0.6,0.20425926,169,0.11765167,-13.339389,3400.0,0.1021711
0.44,17100.0,0.84194213,-14.821306,0.5,0.20424204,170,0.117637694,-15.936739,3420.0,0.10214367
0.48,17200.0,0.8419567,-13.854331,0.65,0.20422007,171,0.11767013,-9.581797,3440.0,0.10210063
0.48,17300.0,0.8419473,-12.852048,0.45,0.2041576,172,0.11764001,-14.414482,3460.0,0.102030344
0.47,17400.0,0.84197664,-14.311468,0.85,0.20416912,173,0.11764237,-5.7043614,3480.0,0.10199646
0.5,17500.0,0.8419768,-11.577295,0.45,0.20416118,174,0.11765689,-11.540512,3500.0,0.1019482
0.5,17600.0,0.84199953,-11.262587,0.75,0.20413707,175,0.117627665,-6.551339,3520.0,0.10188506
0.48,17700.0,0.8420418,-12.411334,0.65,0.20415652,176,0.11764404,-5.6428127,3540.0,0.10195417
0.53,17800.0,0.84203535,-12.269126,0.75,0.20415768,177,0.11759616,-4.394746,3560.0,0.101965964
0.49,17900.0,0.84200454,-11.26313,0.7,0.20414019,178,0.117722616,-6.576658,3580.0,0.10212973
0.54,18000.0,0.8420408,-9.230332,0.6,0.20415081,179,0.11776302,-6.644376,3600.0,0.10214972
0.5,18100.0,0.84207964,-8.30835,0.8,0.20415106,180,0.11772199,-4.3462706,3620.0,0.10210586
0.48,18200.0,0.8421362,-8.1892605,0.55,0.20417207,181,0.117786385,-7.1434455,3640.0,0.10201869
0.52,18300.0,0.84213847,-8.845379,0.8,0.20417902,182,0.11781925,-4.801623,3660.0,0.10201559
0.56,18400.0,0.84213,-8.644937,0.7,0.20420448,183,0.11786109,-7.4667892,3680.0,0.10205752
0.48,18500.0,0.8420758,-8.0723505,0.65,0.2041884,184,0.11794267,-6.2971563,3700.0,0.10207522
0.48,18600.0,0.8420663,-8.018532,0.65,0.2041566,185,0.1179097,-6.085182,3720.0,0.102024466
0.47,18700.0,0.8420766,-8.482048,0.85,0.20415954,186,0.117829196,-3.839869,3740.0,0.10196954
0.49,18800.0,0.8420287,-8.645749,0.7,0.20414618,187,0.117859386,-6.5132737,3760.0,0.10202774
0.45,18900.0,0.8420813,-8.854722,0.55,0.20414066,188,0.117820084,-7.4391923,3780.0,0.10199974
0.45,19000.0,0.8421052,-9.3815775,0.85,0.20414883,189,0.11777303,-4.382333,3800.0,0.10194852
0.62,19100.0,0.8421297,-7.2540255,0.7,0.20412754,190,0.117695324,-7.5099306,3820.0,0.101901986
0.53,19200.0,0.8421764,-8.477174,0.9,0.20411217,191,0.117669895,-3.523975,3840.0,0.10187337
0.51,19300.0,0.8422219,-10.062418,0.9,0.20414217,192,0.11772019,-3.5553112,3860.0,0.10188494
0.5,19400.0,0.842261,-9.808539,0.65,0.2041514,193,0.117761314,-7.16418,3880.0,0.101935215
0.49,19500.0,0.8423032,-8.362914,0.7,0.20415565,194,0.11777565,-5.354168,3900.0,0.10191644
0.53,19600.0,0.8423515,-8.708966,0.7,0.20417906,195,0.11776353,-8.133417,3920.0,0.101898015
0.53,19700.0,0.84235024,-8.656084,0.85,0.2041844,196,0.11775024,-5.6854963,3940.0,0.101890385
0.47,19800.0,0.84235,-8.933609,0.9,0.20417683,197,0.117727526,-3.1347036,3960.0,0.10185752
0.6,19900.0,0.84235907,-7.929182,0.65,0.20416653,198,0.11767455,-8.699118,3980.0,0.1018075
0.53,20000.0,0.84235805,-9.988936,0.7,0.2041726,199,0.11768252,-5.7278137,4000.0,0.101805985
