epoch,test/mean_Q,train/success_rate,test/success_rate,stats_o/std,stats_o/mean,test/episode,stats_g/mean,train/episode,stats_g/std,train/mean_Q
147,-4.451249,0.72,0.75,0.088158846,0.20061287,2960.0,0.8352484,14800.0,0.0760219,-7.302374
148,-4.370309,0.75,0.65,0.08827765,0.20059755,2980.0,0.83524114,14900.0,0.075975105,-6.2029057
149,-3.6497521,0.7,0.85,0.08854886,0.20055334,3000.0,0.83522123,15000.0,0.075958095,-6.885881
150,-4.577418,0.79,0.75,0.08879742,0.20054817,3020.0,0.83521414,15100.0,0.075930834,-6.4851365
151,-3.267407,0.72,0.8,0.089027844,0.20054817,3040.0,0.835273,15200.0,0.07591357,-6.301603
152,-3.8176117,0.73,0.75,0.08927382,0.20053585,3060.0,0.8352595,15300.0,0.07589181,-6.0641136
153,-3.3511868,0.73,0.85,0.089429006,0.20054151,3080.0,0.8352437,15400.0,0.07587782,-5.514665
154,-4.729535,0.72,0.7,0.08966365,0.2005646,3100.0,0.8352518,15500.0,0.07585991,-5.9126263
155,-3.5608163,0.74,0.8,0.08979798,0.20057468,3120.0,0.8352911,15600.0,0.07584246,-5.428644
156,-5.4013395,0.74,0.8,0.09003873,0.20055838,3140.0,0.8352914,15700.0,0.07580841,-5.2753797
157,-2.7772357,0.73,0.85,0.09021201,0.20054635,3160.0,0.83529425,15800.0,0.075825095,-5.8613787
158,-2.2414734,0.75,0.95,0.090523206,0.20052099,3180.0,0.8352781,15900.0,0.07586935,-6.105419
159,-3.6145387,0.81,0.7,0.09077157,0.20053516,3200.0,0.8353116,16000.0,0.075983025,-5.450996
160,-5.4944324,0.8,0.65,0.09099284,0.20058912,3220.0,0.8353365,16100.0,0.07597304,-4.6533012
161,-2.5108275,0.77,0.9,0.09106527,0.200632,3240.0,0.8353679,16200.0,0.07597647,-4.9381847
162,-2.2761352,0.8,0.9,0.09121431,0.20063898,3260.0,0.8353959,16300.0,0.07592349,-4.742488
163,-2.0942476,0.73,0.95,0.09153785,0.20058024,3280.0,0.8353746,16400.0,0.07593133,-5.3775916
164,-2.7150292,0.84,0.8,0.09168693,0.20058207,3300.0,0.83541864,16500.0,0.07593479,-4.10155
165,-1.6620843,0.82,1.0,0.09184894,0.20058991,3320.0,0.8354369,16600.0,0.07588794,-4.3414435
166,-3.0081906,0.8,0.85,0.09210631,0.20060988,3340.0,0.8354544,16700.0,0.07583558,-4.688828
167,-3.3416748,0.76,0.8,0.092358276,0.20059219,3360.0,0.83551973,16800.0,0.07587642,-5.1588593
168,-3.0075932,0.8,0.85,0.09256043,0.20059788,3380.0,0.8355445,16900.0,0.0758825,-4.8468575
169,-2.46536,0.88,0.9,0.09268275,0.20059738,3400.0,0.8355697,17000.0,0.07581066,-3.7268267
170,-4.5322776,0.87,0.65,0.09279669,0.20059197,3420.0,0.83557326,17100.0,0.075740874,-3.763565
171,-2.6027641,0.76,0.85,0.09317437,0.20064415,3440.0,0.8356224,17200.0,0.07569694,-4.9370956
172,-2.3139935,0.81,0.9,0.09327196,0.20065539,3460.0,0.83564633,17300.0,0.075624086,-3.6919396
173,-1.6508592,0.86,1.0,0.09346939,0.2006798,3480.0,0.8356697,17400.0,0.07569864,-4.981946
174,-2.3319619,0.87,0.9,0.09372816,0.20069376,3500.0,0.83570486,17500.0,0.075656794,-4.1049833
175,-1.8533831,0.83,0.95,0.093874544,0.20067757,3520.0,0.83571416,17600.0,0.07565301,-4.24173
