test/success_rate,stats_g/mean,test/mean_Q,train/success_rate,train/episode,train/mean_Q,test/episode,epoch,stats_g/std,stats_o/mean,stats_o/std
0.4,0.7997417,-15.067134,0.23,15100.0,-22.907845,3020.0,150,0.1542738,0.18990791,0.09608876
0.4,0.7998147,-17.395693,0.15,15200.0,-27.924604,3040.0,151,0.15439795,0.18992424,0.09615194
0.55,0.7998431,-15.707848,0.17,15300.0,-27.222368,3060.0,152,0.15433957,0.1899645,0.09609352
0.4,0.7998593,-15.126737,0.23,15400.0,-23.3567,3080.0,153,0.15428765,0.1899753,0.09605857
0.7,0.79997295,-13.6067705,0.2,15500.0,-25.542295,3100.0,154,0.15422021,0.19000341,0.09598811
0.65,0.8000688,-12.641261,0.19,15600.0,-26.251375,3120.0,155,0.15423027,0.19004674,0.09603463
0.6,0.8001132,-16.210989,0.09,15700.0,-28.202766,3140.0,156,0.15430969,0.19005865,0.096037194
0.55,0.80012244,-15.712033,0.22,15800.0,-26.250017,3160.0,157,0.15424384,0.19006415,0.09599267
0.55,0.80011255,-13.393725,0.13,15900.0,-28.04888,3180.0,158,0.15435547,0.19005865,0.095983855
0.45,0.80024654,-15.903646,0.22,16000.0,-25.874426,3200.0,159,0.1543264,0.19006196,0.09598731
0.3,0.8003686,-17.969477,0.16,16100.0,-27.091337,3220.0,160,0.15439744,0.19007422,0.09602611
0.55,0.80041486,-17.007586,0.13,16200.0,-27.856123,3240.0,161,0.1545252,0.19007757,0.09608321
0.3,0.8005178,-16.137945,0.16,16300.0,-26.255165,3260.0,162,0.15457496,0.19010797,0.09611824
0.5,0.8005759,-12.450336,0.11,16400.0,-25.470547,3280.0,163,0.15457325,0.19011253,0.09620228
0.35,0.8006304,-13.231794,0.15,16500.0,-27.193077,3300.0,164,0.15465863,0.19012235,0.096408576
0.5,0.8006711,-13.988025,0.15,16600.0,-25.373167,3320.0,165,0.15475713,0.19012533,0.09662771
0.3,0.80069333,-21.452112,0.18,16700.0,-24.139183,3340.0,166,0.1546957,0.19012529,0.09673514
0.35,0.80079025,-11.903805,0.12,16800.0,-25.573524,3360.0,167,0.15479468,0.19013079,0.09713385
0.5,0.80083436,-14.272949,0.15,16900.0,-22.193491,3380.0,168,0.1547406,0.19013773,0.09723
0.25,0.8008992,-13.835902,0.16,17000.0,-22.078934,3400.0,169,0.15473472,0.19015072,0.0972977
0.5,0.8009772,-12.453586,0.22,17100.0,-22.068073,3420.0,170,0.15471502,0.19019364,0.09741852
0.35,0.80105776,-13.770131,0.17,17200.0,-24.18054,3440.0,171,0.15483452,0.19021015,0.097578466
0.2,0.8011219,-13.55129,0.12,17300.0,-22.913471,3460.0,172,0.1549549,0.19024187,0.09777535
0.45,0.80119807,-10.968434,0.13,17400.0,-22.361687,3480.0,173,0.15489529,0.19026107,0.097828664
0.4,0.80125284,-14.526667,0.17,17500.0,-23.806614,3500.0,174,0.15486129,0.19029067,0.097890995
0.45,0.8013988,-13.013141,0.14,17600.0,-24.091097,3520.0,175,0.15485567,0.190308,0.0979052
0.6,0.80145496,-12.835075,0.17,17700.0,-23.267424,3540.0,176,0.15485321,0.19031595,0.09794545
0.55,0.8014498,-13.781369,0.17,17800.0,-24.420734,3560.0,177,0.15487675,0.19032602,0.09792218
0.5,0.8014737,-14.785746,0.14,17900.0,-25.780476,3580.0,178,0.15490417,0.19032691,0.09804634
0.45,0.8015017,-14.25693,0.16,18000.0,-25.436068,3600.0,179,0.15490866,0.19033805,0.098100044
0.4,0.80150634,-14.623453,0.14,18100.0,-24.780092,3620.0,180,0.1549751,0.19034,0.09809764
0.4,0.8015352,-16.812687,0.19,18200.0,-26.066956,3640.0,181,0.15501133,0.19035144,0.098117456
0.35,0.8016095,-15.223859,0.19,18300.0,-26.634363,3660.0,182,0.15506032,0.1903816,0.09814044
0.5,0.8016924,-14.262149,0.2,18400.0,-25.315025,3680.0,183,0.15518384,0.19041264,0.09827407
0.45,0.8017161,-17.733467,0.13,18500.0,-26.055386,3700.0,184,0.15518877,0.1904471,0.09826094
0.5,0.8017401,-13.832785,0.17,18600.0,-27.129883,3720.0,185,0.1552314,0.19044848,0.09837077
0.45,0.8018058,-16.833963,0.25,18700.0,-24.745363,3740.0,186,0.15527332,0.19047265,0.09841048
0.4,0.8018349,-17.457832,0.14,18800.0,-26.852154,3760.0,187,0.15526171,0.19047117,0.09841652
0.35,0.80193776,-17.394176,0.19,18900.0,-26.399063,3780.0,188,0.15531309,0.1904937,0.09849835
0.35,0.80193186,-13.693657,0.15,19000.0,-24.520164,3800.0,189,0.15529923,0.19049636,0.09858401
0.4,0.8019393,-12.608751,0.15,19100.0,-26.882275,3820.0,190,0.15535441,0.19050583,0.09870932
0.35,0.8019965,-14.211146,0.22,19200.0,-22.622818,3840.0,191,0.15537186,0.19050555,0.09883222
0.5,0.8020218,-12.496486,0.15,19300.0,-25.199125,3860.0,192,0.1553619,0.19051811,0.09886067
0.55,0.8020739,-12.922732,0.14,19400.0,-23.815575,3880.0,193,0.15533414,0.19053808,0.09886536
0.65,0.802114,-11.313721,0.22,19500.0,-23.400532,3900.0,194,0.15521784,0.19055948,0.09889838
0.4,0.80219024,-11.439756,0.14,19600.0,-26.158184,3920.0,195,0.15525205,0.19060291,0.09900024
0.5,0.8021955,-9.939394,0.16,19700.0,-25.36357,3940.0,196,0.15532981,0.19062784,0.09908137
0.5,0.8022037,-12.853409,0.2,19800.0,-23.187315,3960.0,197,0.15529855,0.19066028,0.09909916
0.65,0.80222934,-11.304861,0.16,19900.0,-24.394424,3980.0,198,0.15524624,0.19068716,0.09914298
0.35,0.8022499,-13.04509,0.28,20000.0,-23.56136,4000.0,199,0.15521464,0.19070564,0.0991761
