train/success_rate,epoch,test/mean_Q,stats_o/mean,test/success_rate,stats_g/std,stats_g/mean,train/mean_Q,test/episode,stats_o/std,train/episode
0.89,131,-1.2921271,0.2027103,0.95,0.085714005,0.83852625,-3.2144253,2640.0,0.1025632,13200.0
0.94,132,-1.4162977,0.20267738,1.0,0.085692845,0.83852744,-3.3007662,2660.0,0.1027285,13300.0
0.93,133,-1.5602157,0.20268717,1.0,0.08558402,0.8385585,-2.4841769,2680.0,0.10273378,13400.0
0.92,134,-1.0373424,0.20266235,1.0,0.08549267,0.83855844,-2.7258215,2700.0,0.10272504,13500.0
0.97,135,-1.1433882,0.20267424,1.0,0.085402966,0.8385578,-2.3676755,2720.0,0.10284553,13600.0
0.94,136,-1.4879749,0.20269112,0.95,0.085316904,0.8385779,-2.6802955,2740.0,0.10291955,13700.0
0.93,137,-1.1587983,0.2027291,1.0,0.08529202,0.83860487,-3.3137827,2760.0,0.10311851,13800.0
0.95,138,-1.474769,0.20275345,1.0,0.085269354,0.83863145,-2.9440494,2780.0,0.10326863,13900.0
0.93,139,-1.4918251,0.2027526,0.95,0.085224785,0.8386512,-2.632544,2800.0,0.10335994,14000.0
0.89,140,-1.5873754,0.20278922,1.0,0.08514517,0.8386479,-2.8382711,2820.0,0.10344556,14100.0
0.92,141,-1.1635017,0.20281099,1.0,0.085128665,0.83864063,-2.9240897,2840.0,0.10361487,14200.0
0.94,142,-1.4522879,0.20278974,1.0,0.085046746,0.83862704,-2.488577,2860.0,0.10368268,14300.0
0.97,143,-1.3962991,0.2028064,1.0,0.08496686,0.8386066,-2.5337663,2880.0,0.10362568,14400.0
0.95,144,-1.2180952,0.20279989,1.0,0.084875815,0.8385722,-2.3326337,2900.0,0.10365415,14500.0
0.91,145,-1.5146129,0.20279789,1.0,0.084796906,0.83856887,-2.6071985,2920.0,0.10364465,14600.0
0.95,146,-1.3972633,0.2027859,1.0,0.08472618,0.83856875,-2.41706,2940.0,0.10368658,14700.0
0.9,147,-1.5432289,0.20282151,1.0,0.08466566,0.8386252,-2.583008,2960.0,0.10371522,14800.0
0.94,148,-1.2434542,0.20281841,1.0,0.08462831,0.83862686,-2.757171,2980.0,0.10369897,14900.0
0.96,149,-1.3894794,0.20283441,1.0,0.08455723,0.83860606,-2.3682098,3000.0,0.10369535,15000.0
0.95,150,-1.3425759,0.20284542,1.0,0.08446535,0.83861375,-2.4981296,3020.0,0.103677645,15100.0
0.93,151,-1.2802078,0.20282814,1.0,0.08442112,0.8386685,-2.8418207,3040.0,0.10383743,15200.0
0.95,152,-1.3849348,0.20280823,1.0,0.084363006,0.8386731,-2.67732,3060.0,0.10388012,15300.0
0.96,153,-0.9935521,0.20281233,1.0,0.08432963,0.8386419,-2.74581,3080.0,0.1039194,15400.0
0.97,154,-1.4151089,0.20280224,1.0,0.08424746,0.83865637,-2.1912875,3100.0,0.10389288,15500.0
0.95,155,-1.7849381,0.20280036,0.95,0.084177226,0.8386938,-2.6210666,3120.0,0.10397277,15600.0
0.94,156,-1.4152406,0.20278578,1.0,0.08412719,0.83867246,-2.7112656,3140.0,0.104024954,15700.0
0.95,157,-1.1495687,0.2027957,1.0,0.08406928,0.838681,-2.6260464,3160.0,0.104020625,15800.0
0.94,158,-1.515096,0.2027538,1.0,0.08403466,0.83866954,-2.6965606,3180.0,0.10407708,15900.0
0.9,159,-1.5117189,0.20275833,1.0,0.08406698,0.8386664,-3.3016992,3200.0,0.10414637,16000.0
0.94,160,-1.587776,0.20274265,1.0,0.084021956,0.8386672,-2.4832788,3220.0,0.10428312,16100.0
0.94,161,-1.0207742,0.20273377,1.0,0.08396677,0.8386789,-2.580618,3240.0,0.104289524,16200.0
0.91,162,-1.3307374,0.202722,1.0,0.08396092,0.8386598,-2.807589,3260.0,0.10434733,16300.0
0.94,163,-1.0917372,0.20273563,1.0,0.08393252,0.8386383,-2.730129,3280.0,0.10436905,16400.0
0.92,164,-1.3116188,0.20276804,1.0,0.08391295,0.83864564,-2.5317647,3300.0,0.10444178,16500.0
0.92,165,-1.199403,0.20276862,1.0,0.083896846,0.8386434,-3.0790293,3320.0,0.10450812,16600.0
0.97,166,-1.4762874,0.20279816,1.0,0.08382285,0.83865047,-2.3309433,3340.0,0.10453845,16700.0
0.92,167,-1.5474253,0.20282249,1.0,0.08379959,0.83870584,-3.2684186,3360.0,0.10463793,16800.0
0.93,168,-1.6907107,0.20284633,0.95,0.08376185,0.8386995,-2.8857534,3380.0,0.104770176,16900.0
0.98,169,-1.5491067,0.20285831,0.95,0.08368493,0.8386975,-2.3256905,3400.0,0.104757026,17000.0
0.94,170,-1.3542976,0.20281614,1.0,0.08369886,0.83865285,-2.9277515,3420.0,0.10483153,17100.0
0.91,171,-1.3540959,0.2028131,1.0,0.08364398,0.8386889,-2.5914495,3440.0,0.10490765,17200.0
0.92,172,-1.1281322,0.20278814,1.0,0.08362969,0.8386848,-3.0768816,3460.0,0.10494284,17300.0
0.87,173,-1.1501113,0.202797,1.0,0.083610825,0.83869106,-3.2199602,3480.0,0.10503501,17400.0
0.95,174,-1.583476,0.20282032,1.0,0.083568275,0.83868045,-2.565022,3500.0,0.10507206,17500.0
0.96,175,-1.0800531,0.20279518,1.0,0.08350315,0.8386714,-2.6403348,3520.0,0.10505836,17600.0
0.92,176,-1.1195633,0.20284158,1.0,0.08344386,0.83872795,-2.6131961,3540.0,0.10519668,17700.0
0.94,177,-1.5385196,0.20283478,0.95,0.083392344,0.8387196,-2.504589,3560.0,0.105185814,17800.0
0.92,178,-1.4872981,0.20284325,1.0,0.083350755,0.83872706,-2.4684675,3580.0,0.105187275,17900.0
0.89,179,-1.5430206,0.20281456,1.0,0.08335405,0.83870417,-3.0788147,3600.0,0.105240166,18000.0
0.97,180,-1.1660541,0.20279577,1.0,0.0833037,0.8386875,-2.3472767,3620.0,0.10523839,18100.0
0.95,181,-1.326381,0.2027992,1.0,0.083285205,0.83868194,-2.5319483,3640.0,0.10525972,18200.0
0.97,182,-1.5925224,0.20278715,1.0,0.08321046,0.83863527,-2.6431878,3660.0,0.10534781,18300.0
0.93,183,-1.1723211,0.20278916,1.0,0.083195545,0.8386839,-2.7371118,3680.0,0.10540527,18400.0
0.91,184,-1.2514831,0.20276092,1.0,0.08315411,0.8386572,-2.8485992,3700.0,0.105417766,18500.0
0.91,185,-1.4796726,0.20278488,1.0,0.08312348,0.8386839,-2.9314926,3720.0,0.10546875,18600.0
