test/episode,train/mean_Q,epoch,stats_g/std,test/success_rate,test/mean_Q,stats_g/mean,train/episode,stats_o/mean,train/success_rate,stats_o/std
3620.0,-24.379917,180,0.16294886,0.35,-15.705037,0.8020618,18100.0,0.18948339,0.19,0.098639175
3640.0,-25.549427,181,0.16309215,0.3,-17.357044,0.80215806,18200.0,0.18948764,0.18,0.09865601
3660.0,-24.945093,182,0.16310616,0.35,-12.756318,0.8022726,18300.0,0.18955532,0.12,0.09870387
3680.0,-24.012606,183,0.16319217,0.45,-14.613254,0.80228806,18400.0,0.1895686,0.16,0.09878203
3700.0,-25.44853,184,0.16336106,0.4,-16.453617,0.8023059,18500.0,0.18958513,0.13,0.09882916
3720.0,-25.004738,185,0.16331701,0.55,-14.379974,0.80231714,18600.0,0.18959986,0.2,0.09883517
3740.0,-23.959969,186,0.16335487,0.4,-14.017309,0.8024044,18700.0,0.18962684,0.17,0.09878766
3760.0,-23.86418,187,0.16334634,0.5,-15.254599,0.8024878,18800.0,0.1896533,0.17,0.09880376
3780.0,-26.088625,188,0.16342618,0.45,-12.245214,0.8025501,18900.0,0.18967056,0.1,0.09887037
3800.0,-27.179598,189,0.16350496,0.45,-15.525261,0.80257267,19000.0,0.1896797,0.13,0.098919876
3820.0,-24.519705,190,0.16341223,0.6,-12.126181,0.80257636,19100.0,0.18967608,0.16,0.09891484
3840.0,-25.750145,191,0.16351768,0.5,-15.084589,0.80272746,19200.0,0.18970498,0.14,0.0989824
3860.0,-23.23599,192,0.16350655,0.35,-13.70627,0.8027895,19300.0,0.18970793,0.22,0.09900089
3880.0,-23.723719,193,0.16354652,0.4,-16.420925,0.8027615,19400.0,0.18970346,0.2,0.09901728
3900.0,-25.013138,194,0.16348188,0.5,-15.704727,0.80278486,19500.0,0.18971759,0.14,0.09899452
3920.0,-27.083601,195,0.16373132,0.5,-15.936907,0.80278116,19600.0,0.18973902,0.22,0.09921594
3940.0,-25.626867,196,0.16383295,0.65,-12.261663,0.8027752,19700.0,0.18975626,0.16,0.09926333
3960.0,-24.26363,197,0.16374461,0.25,-17.322247,0.8027689,19800.0,0.18977848,0.23,0.099231154
3980.0,-23.910883,198,0.1636673,0.4,-13.755818,0.80283636,19900.0,0.18979855,0.23,0.09918952
4000.0,-22.85131,199,0.1636489,0.3,-14.142708,0.8028455,20000.0,0.18981196,0.29,0.099173404
