test/mean_Q,train/success_rate,train/episode,stats_o/std,stats_g/std,stats_o/mean,stats_g/mean,test/success_rate,train/mean_Q,epoch,test/episode
-1.1552418,0.93,14500.0,0.09909702,0.082140915,0.2022041,0.83804995,1.0,-2.8403268,144,2900.0
-1.7805126,0.98,14600.0,0.09905625,0.08208928,0.20219988,0.8380622,1.0,-2.5487363,145,2920.0
-1.8429496,0.97,14700.0,0.09905109,0.08202844,0.20217827,0.8380709,0.9,-2.372312,146,2940.0
-1.7275221,0.94,14800.0,0.09907493,0.08199821,0.20219062,0.8381219,0.95,-2.7057972,147,2960.0
-1.5028266,0.98,14900.0,0.09923171,0.08194528,0.20215265,0.8381086,0.95,-2.569709,148,2980.0
-1.4883916,0.96,15000.0,0.099275894,0.08191449,0.20215572,0.8380913,1.0,-2.5525405,149,3000.0
-1.2196896,0.93,15100.0,0.099334076,0.08186581,0.20218241,0.838087,1.0,-2.6246324,150,3020.0
-1.1721886,0.9,15200.0,0.09938658,0.08181984,0.20220204,0.83813864,1.0,-2.5538611,151,3040.0
-1.2355756,0.95,15300.0,0.09946309,0.08178017,0.20217818,0.8381436,1.0,-2.6446686,152,3060.0
-0.9603461,0.96,15400.0,0.099559434,0.08175193,0.20218877,0.8381503,1.0,-3.0075998,153,3080.0
-1.4327557,0.91,15500.0,0.09961725,0.08173204,0.20216532,0.83815837,1.0,-2.8990362,154,3100.0
-1.4427212,0.87,15600.0,0.099681005,0.08171762,0.20215464,0.83818215,1.0,-3.0867586,155,3120.0
-1.7243809,0.93,15700.0,0.09980458,0.08173102,0.2021575,0.8381794,1.0,-2.9857082,156,3140.0
-1.6809113,0.92,15800.0,0.099787034,0.08167709,0.20217036,0.838195,0.95,-2.660318,157,3160.0
-1.2912295,0.93,15900.0,0.099805996,0.08166312,0.20218238,0.8381694,1.0,-2.7888107,158,3180.0
-1.5019308,0.95,16000.0,0.099918455,0.08161501,0.2021554,0.83817977,1.0,-2.5786557,159,3200.0
-1.3785574,0.92,16100.0,0.10004213,0.08160118,0.20215017,0.8381992,1.0,-2.9191418,160,3220.0
-1.061712,0.93,16200.0,0.10013959,0.08157607,0.20211208,0.83822113,1.0,-2.7739687,161,3240.0
-1.2540675,0.92,16300.0,0.10019759,0.08152481,0.20208788,0.83821815,1.0,-2.3037395,162,3260.0
-1.0820906,0.94,16400.0,0.100269556,0.08150227,0.20206246,0.83819675,1.0,-2.7091208,163,3280.0
-1.1900818,0.92,16500.0,0.1004046,0.08147607,0.20212269,0.8382199,1.0,-2.457381,164,3300.0
-1.0920894,0.92,16600.0,0.10045555,0.08146608,0.20211805,0.8382322,1.0,-2.696538,165,3320.0
-1.3509208,0.92,16700.0,0.10061176,0.08143645,0.20212671,0.83824825,1.0,-3.034861,166,3340.0
-2.533943,0.93,16800.0,0.10072593,0.081408076,0.20215681,0.8383091,0.95,-2.8091474,167,3360.0
-1.3517262,0.88,16900.0,0.10093495,0.0814118,0.2021836,0.8383083,1.0,-3.1402225,168,3380.0
-1.3282825,0.93,17000.0,0.1010016,0.08140713,0.20218466,0.83831364,1.0,-2.8577573,169,3400.0
-1.5302976,0.91,17100.0,0.101018555,0.08140018,0.2021789,0.83829576,1.0,-2.7504554,170,3420.0
-1.3783804,0.93,17200.0,0.1011341,0.0813957,0.20219725,0.8383313,1.0,-2.845169,171,3440.0
-1.2365412,0.96,17300.0,0.101152934,0.08132988,0.20219046,0.8383444,1.0,-2.4846883,172,3460.0
-1.013434,0.94,17400.0,0.10120726,0.081308804,0.20217198,0.8383508,1.0,-2.85995,173,3480.0
-1.1788503,0.9,17500.0,0.10128005,0.08127418,0.20215824,0.8383507,1.0,-2.6025863,174,3500.0
-1.1103516,0.93,17600.0,0.10124019,0.081228405,0.20216769,0.8383619,1.0,-2.5559206,175,3520.0
-1.1995833,0.92,17700.0,0.10127763,0.08120256,0.2021884,0.8384201,1.0,-2.497376,176,3540.0
-0.9624821,0.94,17800.0,0.101378776,0.08119464,0.20220353,0.83841896,1.0,-2.7321396,177,3560.0
-1.7828156,0.94,17900.0,0.10149682,0.081171535,0.20220536,0.8384282,0.95,-2.4150202,178,3580.0
-1.3707513,0.94,18000.0,0.101601705,0.081144914,0.20217693,0.8384046,1.0,-2.3072293,179,3600.0
-1.1122037,0.91,18100.0,0.10162105,0.0811379,0.20216092,0.8383977,1.0,-2.5152364,180,3620.0
-1.0752828,0.95,18200.0,0.10171765,0.08110895,0.20218398,0.8383989,1.0,-2.403826,181,3640.0
-1.7219744,0.94,18300.0,0.10181561,0.08107216,0.20221204,0.83836573,1.0,-2.5180583,182,3660.0
-1.193915,0.9,18400.0,0.10184011,0.08105904,0.2022079,0.8384194,1.0,-2.6596956,183,3680.0
-1.3317727,0.93,18500.0,0.101908825,0.08101819,0.20220299,0.83839613,1.0,-2.7406034,184,3700.0
-1.5372232,0.94,18600.0,0.10193811,0.08097605,0.20219763,0.838414,1.0,-2.4871254,185,3720.0
-1.1688296,0.93,18700.0,0.10205394,0.080949895,0.20217519,0.8383839,1.0,-2.6918683,186,3740.0
-1.3919446,0.91,18800.0,0.10209601,0.08093283,0.20220259,0.8384218,1.0,-2.435632,187,3760.0
-1.7171202,0.91,18900.0,0.102122955,0.08088838,0.20226765,0.838443,0.95,-2.1819634,188,3780.0
-1.2129066,0.93,19000.0,0.10213575,0.08085498,0.20226756,0.8384171,1.0,-2.0853882,189,3800.0
-1.1160197,0.96,19100.0,0.10216368,0.08083179,0.20228364,0.83842415,1.0,-2.1890361,190,3820.0
-1.3459581,0.95,19200.0,0.10222848,0.080840744,0.20228204,0.8384051,1.0,-2.3267753,191,3840.0
-1.2083924,0.86,19300.0,0.10234033,0.08082051,0.20229971,0.8384016,1.0,-2.6390839,192,3860.0
-1.0588728,0.95,19400.0,0.10243549,0.08078865,0.20234875,0.83838606,1.0,-2.1636791,193,3880.0
-1.3437979,0.93,19500.0,0.10240898,0.08078546,0.2023521,0.83838254,1.0,-2.6094675,194,3900.0
-1.1847916,0.97,19600.0,0.10240161,0.08076655,0.20234238,0.8384021,1.0,-2.3242235,195,3920.0
-1.3217002,0.93,19700.0,0.10237159,0.08073116,0.20235762,0.8383734,1.0,-2.1325257,196,3940.0
-1.2008975,0.96,19800.0,0.10246812,0.080692284,0.20238265,0.838371,1.0,-2.525253,197,3960.0
-1.3347087,0.96,19900.0,0.102425806,0.08065069,0.20237848,0.8383529,1.0,-2.2199078,198,3980.0
-1.2603978,0.96,20000.0,0.10243272,0.080602355,0.20239782,0.83836126,1.0,-2.1404078,199,4000.0
