test/mean_Q,train/episode,stats_o/mean,train/success_rate,stats_o/std,stats_g/mean,test/episode,train/mean_Q,stats_g/std,test/success_rate,epoch
-10.664107,14500.0,0.20320076,0.41,0.11599568,0.8414955,2900.0,-14.891271,0.0996111,0.7,144
-12.398338,14600.0,0.20320404,0.45,0.11607647,0.84151,2920.0,-15.999866,0.09954572,0.6,145
-18.279419,14700.0,0.20322198,0.53,0.116139285,0.8415418,2940.0,-13.197239,0.09951117,0.5,146
-19.29854,14800.0,0.20319381,0.45,0.11611616,0.84160376,2960.0,-15.45705,0.09943003,0.3,147
-15.237219,14900.0,0.20320988,0.47,0.116086215,0.84161717,2980.0,-15.257521,0.09938055,0.55,148
-13.9346485,15000.0,0.20317152,0.51,0.11608617,0.84161526,3000.0,-12.822188,0.09939704,0.45,149
-11.890741,15100.0,0.20318487,0.46,0.11612221,0.84166527,3020.0,-16.492317,0.099379264,0.65,150
-10.745672,15200.0,0.20315278,0.38,0.11616703,0.8417128,3040.0,-14.862754,0.09934187,0.55,151
-8.919055,15300.0,0.20316578,0.38,0.116273634,0.841722,3060.0,-15.589287,0.09931562,0.75,152
-15.289309,15400.0,0.20316878,0.41,0.11623852,0.8417193,3080.0,-15.556031,0.09926971,0.5,153
-12.435482,15500.0,0.20318583,0.51,0.11629194,0.8417298,3100.0,-14.897831,0.09926313,0.55,154
-9.626692,15600.0,0.20323235,0.43,0.11642374,0.84176093,3120.0,-16.685112,0.09932754,0.7,155
-12.849373,15700.0,0.20325033,0.46,0.1164047,0.8418081,3140.0,-15.755934,0.09929498,0.7,156
-9.238016,15800.0,0.20328684,0.5,0.116374604,0.841847,3160.0,-14.367031,0.099216424,0.7,157
-14.310822,15900.0,0.20330238,0.38,0.11635334,0.8418572,3180.0,-18.248207,0.09916522,0.6,158
-21.330044,16000.0,0.20333691,0.4,0.11640475,0.84192234,3200.0,-17.217535,0.099182375,0.35,159
-15.816325,16100.0,0.20335175,0.46,0.116378345,0.8418966,3220.0,-15.104745,0.09918771,0.5,160
-7.0398192,16200.0,0.2033259,0.4,0.116411746,0.8419178,3240.0,-17.892448,0.09923032,0.65,161
-14.944365,16300.0,0.2033202,0.5,0.1165753,0.8419716,3260.0,-13.409462,0.0992376,0.45,162
-7.6429496,16400.0,0.20335107,0.45,0.11675989,0.8420005,3280.0,-14.518247,0.09932536,0.75,163
-17.89299,16500.0,0.20336542,0.46,0.1167381,0.8420214,3300.0,-12.129569,0.09930146,0.35,164
-7.0564322,16600.0,0.20337392,0.38,0.11681934,0.8419881,3320.0,-16.113531,0.09931476,0.6,165
-11.279263,16700.0,0.20335926,0.46,0.11685488,0.841996,3340.0,-16.642607,0.0994186,0.5,166
-14.249529,16800.0,0.20338354,0.4,0.1169469,0.84203815,3360.0,-14.888131,0.0994522,0.5,167
-4.9346733,16900.0,0.20337446,0.44,0.11700699,0.84206486,3380.0,-14.565997,0.099547006,0.7,168
-13.9207945,17000.0,0.20340067,0.48,0.117149934,0.84203124,3400.0,-16.337183,0.09971375,0.55,169
